"","Country","currency","price","category","name","X1.EUR.in.Currency","X1.USD.in.Currency","EUR.Average.Monthly.Salary","USD.Average.Monthly.Salary","price_eur","months_to_buy_product"
"70","Australia","AUD",999,"ipad","10.9-inch iPad Wi‑Fi + Cellular 64GB - Pink",1.55,1.5,3915.54,4050.82,644.516129032258,0.1646046596465
"71","Australia","AUD",2599,"iphone","iPhone 14 Pro 1TB Silver",1.55,1.5,3915.54,4050.82,1676.77419354839,0.428235746167422
"72","Australia","AUD",1249,"ipad","10.9-inch iPad Wi‑Fi + Cellular 256GB - Blue",1.55,1.5,3915.54,4050.82,805.806451612903,0.205797016915394
"73","Australia","AUD",3829,"ipad","12.9-inch iPad Pro Wi-Fi 2TB - Space Gray",1.55,1.5,3915.54,4050.82,2470.32258064516,0.63090214393038
"74","Australia","AUD",1929,"ipad","11-inch iPad Pro Wi-Fi 512GB - Silver",1.55,1.5,3915.54,4050.82,1244.51612903226,0.317840228686786
"75","Australia","AUD",1749,"iphone","iPhone 14 Plus 256GB Starlight",1.55,1.5,3915.54,4050.82,1128.38709677419,0.288181731453182
"76","Australia","AUD",1899,"mac","MacBook Air with M2 chip - Midnight",1.55,1.5,3915.54,4050.82,1225.16129032258,0.312897145814519
"77","Australia","AUD",999,"ipad","10.9-inch iPad Wi‑Fi + Cellular 64GB - Silver",1.55,1.5,3915.54,4050.82,644.516129032258,0.1646046596465
"78","Australia","AUD",2079,"ipad","12.9-inch iPad Pro Wi-Fi 256GB - Space Gray",1.55,1.5,3915.54,4050.82,1341.29032258065,0.342555643048122
"79","Australia","AUD",999,"ipad","10.9-inch iPad Air Wi-Fi 64GB - Blue",1.55,1.5,3915.54,4050.82,644.516129032258,0.1646046596465
"80","Australia","AUD",999,"ipad","10.9-inch iPad Air Wi-Fi 64GB - Pink",1.55,1.5,3915.54,4050.82,644.516129032258,0.1646046596465
"81","Australia","AUD",1899,"ipad","12.9-inch iPad Pro Wi-Fi 128GB - Silver",1.55,1.5,3915.54,4050.82,1225.16129032258,0.312897145814519
"82","Australia","AUD",1399,"iphone","iPhone 14 128GB (PRODUCT)RED",1.55,1.5,3915.54,4050.82,902.58064516129,0.230512431276731
"83","Australia","AUD",1249,"ipad","10.9-inch iPad Air Wi-Fi + Cellular 64GB - Purple",1.55,1.5,3915.54,4050.82,805.806451612903,0.205797016915394
