sku,price,category,name,currency,country,store
MLY23,{'fullPrice': 1869.0},mac,MacBook Air with M2 chip - Starlight,EUR,es,AOS: Spain Consumer
MLY13,{'fullPrice': 1519.0},mac,MacBook Air with M2 chip - Starlight,EUR,es,AOS: Spain Consumer
MLY03,{'fullPrice': 1869.0},mac,MacBook Air with M2 chip - Silver,EUR,es,AOS: Spain Consumer
MLXY3,{'fullPrice': 1519.0},mac,MacBook Air with M2 chip - Silver,EUR,es,AOS: Spain Consumer
MLXX3,{'fullPrice': 1869.0},mac,MacBook Air with M2 chip - Space Gray,EUR,es,AOS: Spain Consumer
MLXW3,{'fullPrice': 1519.0},mac,MacBook Air with M2 chip - Space Gray,EUR,es,AOS: Spain Consumer
MLY33,{'fullPrice': 1519.0},mac,MacBook Air with M2 chip - Midnight,EUR,es,AOS: Spain Consumer
MLY43,{'fullPrice': 1869.0},mac,MacBook Air with M2 chip - Midnight,EUR,es,AOS: Spain Consumer
MGN63,{'fullPrice': 29990.0},mac,MacBook Air with M1 chip - Space Gray,CZK,cz,AOS: Czech Consumer 
MGND3,{'fullPrice': 29990.0},mac,MacBook Air with M1 chip - Gold,CZK,cz,AOS: Czech Consumer 
MGN93,{'fullPrice': 29990.0},mac,MacBook Air with M1 chip - Silver,CZK,cz,AOS: Czech Consumer 
MLY23,{'fullPrice': 45990.0},mac,MacBook Air with M2 chip - Starlight,CZK,cz,AOS: Czech Consumer 
MLY13,{'fullPrice': 36990.0},mac,MacBook Air with M2 chip - Starlight,CZK,cz,AOS: Czech Consumer 
MLY03,{'fullPrice': 45990.0},mac,MacBook Air with M2 chip - Silver,CZK,cz,AOS: Czech Consumer 
MLXY3,{'fullPrice': 36990.0},mac,MacBook Air with M2 chip - Silver,CZK,cz,AOS: Czech Consumer 
MLXX3,{'fullPrice': 45990.0},mac,MacBook Air with M2 chip - Space Gray,CZK,cz,AOS: Czech Consumer 
MLXW3,{'fullPrice': 36990.0},mac,MacBook Air with M2 chip - Space Gray,CZK,cz,AOS: Czech Consumer 
MLY33,{'fullPrice': 36990.0},mac,MacBook Air with M2 chip - Midnight,CZK,cz,AOS: Czech Consumer 
MLY43,{'fullPrice': 45990.0},mac,MacBook Air with M2 chip - Midnight,CZK,cz,AOS: Czech Consumer 
MGN63,{'fullPrice': 1390000.0},mac,MacBook Air with M1 chip - Space Gray,KRW,kr,AOS: Korea Consumer
MGND3,{'fullPrice': 1390000.0},mac,MacBook Air with M1 chip - Gold,KRW,kr,AOS: Korea Consumer
